GENOME_TERRITORY,MEAN_COVERAGE,SD_COVERAGE,MEDIAN_COVERAGE,MAD_COVERAGE,PCT_EXC_MAPQ,PCT_EXC_DUPE,PCT_EXC_UNPAIRED,PCT_EXC_BASEQ,PCT_EXC_OVERLAP,PCT_EXC_CAPPED,PCT_EXC_TOTAL,PCT_1X,PCT_5X,PCT_10X,PCT_15X,PCT_20X,PCT_25X,PCT_30X,PCT_40X,PCT_50X,PCT_60X,PCT_70X,PCT_80X,PCT_90X,PCT_100X,HET_SNP_SENSITIVITY,HET_SNP_Q,ID,cohort,library,condition,tissue
2864957046,20.35208,8.23433,21,4,0.076107,0,0.000584,0.014087,0.190542,0.014147,0.295468,0.981505,0.974733,0.939057,0.830628,0.570068,0.242562,0.068102,0.006684,0.002524,0.001753,0.001336,0.001043,0.000833,0.000677,0.97766,17,CTF001_BMPCs_170,2,remove_sensitive,tumor,BMPCs
2864957046,10.166601,5.012533,10,2,0.086424,0,0.000467,0.012517,0.178858,0.015809,0.294074,0.980571,0.94785,0.563861,0.102811,0.009338,0.002767,0.001827,0.001079,0.000708,0.000504,0.000399,0.000333,0.000288,0.000254,0.957775,14,CTF001_CMMCs_41,2,remove_sensitive,tumor,CMMCs
2864957046,13.88259,5.843205,14,3,0.075963,0,0.000423,0.011496,0.073914,0.016031,0.177828,0.981939,0.972574,0.864641,0.430126,0.085059,0.010047,0.003248,0.001742,0.00113,0.000816,0.000625,0.000489,0.000405,0.000352,0.97222,16,CTF002_BMPCs_124,2,remove_sensitive,tumor,BMPCs
2864957046,22.422473,7.755322,22,3,0.065971,0.485671,0.000245,0.008229,0.02762,0.006983,0.594719,0.982634,0.977662,0.970153,0.928613,0.720489,0.348803,0.094508,0.005028,0.00264,0.001877,0.001404,0.001086,0.000885,0.000744,0.978085,17,CTF002_CMMCs_662,2,remove_sensitive,tumor,CMMCs
2864957046,18.869632,6.917542,19,3,0.05962,0.514215,0.000199,0.007755,0.021839,0.00643,0.610057,0.982874,0.976966,0.960192,0.826382,0.447915,0.121657,0.018922,0.002909,0.001906,0.001352,0.001009,0.000798,0.000653,0.000539,0.97612,16,CTF002_WBCs_540,2,remove_sensitive,germline,WBCs
2864957046,11.792718,5.455364,12,3,0.054675,0,0.000803,0.020033,0.021973,0.014286,0.11177,0.981631,0.950296,0.712534,0.249692,0.034409,0.004314,0.002081,0.001201,0.000774,0.000534,0.000396,0.00032,0.000273,0.00024,0.953649,13,CTF003_BMPCs_300,2,remove_sensitive,tumor,BMPCs
2864957046,9.112854,4.813436,9,2,0.089773,0,0.000381,0.008615,0.150141,0.014592,0.263503,0.980107,0.904697,0.440683,0.064699,0.006241,0.002181,0.001401,0.00078,0.000505,0.000374,0.000305,0.00026,0.000228,0.000205,0.936525,12,CTF003_CMMCs_100,2,remove_sensitive,tumor,CMMCs
2864957046,6.485205,3.935806,6,2,0.078302,0,0.00046,0.010879,0.114032,0.014286,0.217959,0.978545,0.761469,0.128687,0.006395,0.001764,0.001099,0.000773,0.00045,0.000321,0.000255,0.000214,0.000187,0.00017,0.000156,0.866439,9,CTF003_WBCs_60,2,remove_sensitive,germline,WBCs
2864957046,8.654604,4.806897,8,2,0.088918,0,0.00049,0.010784,0.096798,0.017277,0.214268,0.985633,0.888815,0.375796,0.050574,0.006103,0.002246,0.001494,0.000882,0.000576,0.000415,0.000335,0.000284,0.000246,0.000219,0.924202,11,CTF004_CMMCs_60,2,remove_sensitive,tumor,CMMCs
2864957046,13.454863,6.004745,13,3,0.087377,0,0.000477,0.010612,0.109879,0.01543,0.223775,0.987891,0.967951,0.823806,0.395741,0.076113,0.009458,0.003399,0.001887,0.001259,0.00091,0.000681,0.000524,0.000431,0.000374,0.973469,16,CTF004_WBCs_85,2,remove_sensitive,germline,WBCs
